RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
233309,233309,2024-09-24 21:05:05.3634215,1102,Info,Microsoft-Windows-Eventlog,Security,988,6832,EC2AMAZ-0TD157D,0,,Event log cleared,NT AUTHORITY\SYSTEM,,SID: (S-1-5-18),,,,,,,False,C:\Users\Forensic\Downloads\lol\Security.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":""0x3E7"",""ClientProcessId"":""2608"",""ClientProcessStartKey"":""134545038867696421""}}}"
233310,233310,2024-09-24 21:05:04.7861540,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,236,EC2AMAZ-0TD157D,0,,A new process has been created,WORKGROUP\EC2AMAZ-0TD157D$,,Parent process: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,PID: 0xDD0,Parent PID: 0x18C8,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\SysWOW64\wevtutil.exe ""C:\Windows\system32\wevtutil.exe"" cl Microsoft-Windows-glcnd/Debug",False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xDD0""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x18C8""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\"" cl Microsoft-Windows-glcnd/Debug""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
233311,233311,2024-09-24 21:05:04.7993233,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,236,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: SeSecurityPrivilege,DisabledPrivilegeList: -,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xDD0),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xDD0""},{""@Name"":""EnabledPrivilegeList"",""#text"":""SeSecurityPrivilege""},{""@Name"":""DisabledPrivilegeList"",""#text"":""-""}]}}"
233312,233312,2024-09-24 21:05:04.7993292,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,236,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: SeBackupPrivilege,DisabledPrivilegeList: -,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xDD0),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xDD0""},{""@Name"":""EnabledPrivilegeList"",""#text"":""SeBackupPrivilege""},{""@Name"":""DisabledPrivilegeList"",""#text"":""-""}]}}"
233313,233313,2024-09-24 21:05:04.8044588,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,236,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: -,DisabledPrivilegeList: SeBackupPrivilege,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xDD0),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xDD0""},{""@Name"":""EnabledPrivilegeList"",""#text"":""-""},{""@Name"":""DisabledPrivilegeList"",""#text"":""SeBackupPrivilege""}]}}"
233314,233314,2024-09-24 21:05:04.8044648,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,236,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: -,DisabledPrivilegeList: SeSecurityPrivilege,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0xDD0),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0xDD0""},{""@Name"":""EnabledPrivilegeList"",""#text"":""-""},{""@Name"":""DisabledPrivilegeList"",""#text"":""SeSecurityPrivilege""}]}}"
233315,233315,2024-09-24 21:05:04.8068564,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2360,EC2AMAZ-0TD157D,0,,A process has exited,WORKGROUP\EC2AMAZ-0TD157D$,,,PID: 0xDD0,,,,,C:\Windows\SysWOW64\wevtutil.exe,False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0xDD0""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""}]}}"
233316,233316,2024-09-24 21:05:04.8169071,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A new process has been created,WORKGROUP\EC2AMAZ-0TD157D$,,Parent process: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,PID: 0x164C,Parent PID: 0x18C8,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\SysWOW64\wevtutil.exe ""C:\Windows\system32\wevtutil.exe"" cl Microsoft-Windows-glcnd/Diagnostic",False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x164C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x18C8""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\"" cl Microsoft-Windows-glcnd/Diagnostic""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
233317,233317,2024-09-24 21:05:04.8380692,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: SeSecurityPrivilege,DisabledPrivilegeList: -,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0x164C),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0x164C""},{""@Name"":""EnabledPrivilegeList"",""#text"":""SeSecurityPrivilege""},{""@Name"":""DisabledPrivilegeList"",""#text"":""-""}]}}"
233318,233318,2024-09-24 21:05:04.8380761,4703,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,204,EC2AMAZ-0TD157D,0,,A user right was adjusted,WORKGROUP\EC2AMAZ-0TD157D$ (S-1-5-18),,Target: WORKGROUP\EC2AMAZ-0TD157D$ (S-1-0-0),EnabledPrivilegeList: SeBackupPrivilege,DisabledPrivilegeList: -,,,,C:\Windows\SysWOW64\wevtutil.exe (PID: 0x164C),False,C:\Users\Forensic\Downloads\lol\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""EC2AMAZ-0TD157D$""},{""@Name"":""TargetDomainName"",""#text"":""WORKGROUP""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SysWOW64\\wevtutil.exe""},{""@Name"":""ProcessId"",""#text"":""0x164C""},{""@Name"":""EnabledPrivilegeList"",""#text"":""SeBackupPrivilege""},{""@Name"":""DisabledPrivilegeList"",""#text"":""-""}]}}"
